stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell
24hpf,4.09,0,4.09,0,8.17,0,0,40.86,0,0,0,0
72hpf,1.07,0,0,0,2.14,1.07,5.35,1.07,0,0,0,0
21Day,1.34,0,0,1.34,0,0,2.68,1.34,1.34,1.34,1.34,1.34
22Month,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0
