stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,0,0,10.7,3.21,0,1.07,0,2.14,0,0
21Day,0,0,0,1.34,0,0,2.68,0,1.34,0,0,1.34,1.34,1.34,0,1.34,1.34,0,0,0,1.34,0,0
3Month,0,0.32,1.28,0,0.32,0,5.12,0.64,0,2.56,0,0.64,0.32,0.32,0.32,0.32,0,0.32,0,8,0,0.64,0.32
22Month,0,0,0,0,0.55,1.09,2.73,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,0
