stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,3.21,0,1.07,0,3.21,150.84,13.91,2.14,1.07,0,0,6.42,0,0,0,0,0
21Day,2.68,0,1.34,6.69,0,10.71,0,2.68,0,0,13.39,0,2.68,14.72,0,13.39,2.68,17.4,0,1.34,1.34,2.68,331.96,21.42,1.34,10.71,9.37,1.34,56.22,5.35,9.37,5.35,0,1.34
3Month,0,0,0.32,8.96,0.32,0,0,0.32,0.32,1.28,2.24,1.28,0,2.56,0,0.64,0.64,4.16,0.32,0,0,4.8,4.16,0.32,0.64,0,0,4.48,5.12,0,0,0,0.64,0
22Month,0,0.55,0,8.75,0,0,0.55,0,0.55,0.55,28.97,0.55,0,3.28,0,0.55,1.64,12.03,0,1.09,0,0,16.4,0.55,0,0,0.55,12.03,35.53,0.55,0,0.55,0,0
