stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0
21Day,45.51,0,0,0,2.68,4.02,5.35,0,0,0,2.68,2.68,0,2.68,1.34,1.34,0,0
3Month,16.32,0.32,0.96,0.32,0,0,0.32,0,0.32,0.32,0,0,0.64,0,0,0,0.32,0.64
22Month,13.67,1.09,12.03,1.09,0.55,0,2.19,1.09,0,0,0,0,0,0,0,0,0,0
