stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0
3Month,1.28,0.32,0.32,0.32,0,0,0.32,6.72,0.64
