stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,0,0,8.17,110.33,8.17,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,22.47,1.07,0,0,0,0,0,0,2.14,175.45,0,2.14,10.7,1.07,0,2.14,0,0,0,0,0,0,0
21Day,1.34,0,91.02,1.34,0,0,0,0,0,1.34,1.34,62.91,4.02,5.35,1.34,0,1.34,0,1.34,0,1.34,1.34,1.34,0,1.34
3Month,0,0,40.63,0,0.32,0.32,6.4,2.24,19.84,1.6,0.64,5.76,2.24,0.64,0.32,0,0.32,0,0.64,0.64,0,0,0,0.32,1.6
22Month,0,0.55,2.19,0,0,0,7.11,1.09,5.47,0,0,1.09,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0.55
