stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,1.07,0,2.14,0,2.14
21Day,1.34,0,0,2.68,2.68,0,1.34,0
22Month,0,1.09,0.55,0,0,0.55,0,0
