stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,0,0,16.05,2.14,1.07,1.07,0,0,1.07,0,0
21Day,1.34,1.34,2.68,0,0,0,0,1.34,1.34,0,2.68,1.34,8.03,0,5.35,0,20.08,1.34,0,1.34,1.34,4.02,1.34,0,0
3Month,0,0.32,2.56,0.32,0,4.48,0.96,0,0.32,0,1.92,0,0.32,0.64,0,0.64,0.32,0,0.32,0,0.64,1.28,0,0.32,0
22Month,0,0,2.19,1.64,1.09,28.97,0.55,0,3.28,0.55,0,1.64,1.09,0,1.09,0,0,0,0.55,0,0,0,0,0,0.55
