stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,4.28,1.07,1.07,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,2.68,20.08,0,0,0,1.34,2.68,0,0,0,0,0
3Month,1.28,1.92,0.32,0,0.32,0.32,2.24,0.64,1.28,0.64,0.64,12.48,0.32,0.32,0.32,0,0,0,25.92,0.32,8.96,0.32
22Month,0,0,0,0,1.09,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,18.04,0,0,0
