stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,1258.61,0,0,0,0,0,0,0,0,0,0,4.09,12.26,4.09,4.09,0,0,4.09,4.09,36.78,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,296.33,1.07,0,0,0,0,0,0,0,0,0,0,33.16,0,3.21,0,1.07,0,18.19,14.98,0,4.28,0,0,1.07,0,2.14,0,0,0
21Day,0,0,0,66.93,4.02,0,1.34,0,0,0,1.34,0,1.34,0,0,10.71,0,1.34,0,1.34,0,8.03,10.71,0,0,2.68,0,1.34,0,0,0,0,0
3Month,0,0,0,47.67,0,0,0,0,0.96,0,7.36,0.96,0,1.28,0,7.68,0.96,3.52,0,0.32,0,0.32,0,0,0,0.32,4.8,0.64,1.28,0,3.2,1.28,0.64
22Month,0,1.09,0.55,14.21,0,0.55,0,0.55,2.73,2.73,20.23,0,1.64,2.73,0,3.28,0,1.64,1.09,0,0,0,0,0.55,0,0,2.73,1.64,0,0,0,0,0
