stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,8.17,0,8.17,0,0,0,0,0,0,0,57.21,0,0,0,0,8.17,0,8.17,0,0,0,0,0,0,8.17,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,4.28,0,20.33,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,3.21,0,0,0,0,0,11.77,66.33,9.63,149.77,0,0,11.77,5.35,0,0,0,1.07,0,0,0,1.07
21Day,5.35,0,0,66.93,0,13.39,0,0,0,0,0,0,0,4.02,117.79,0,4.02,6.69,6.69,21.42,0,0,1.34,10.71,81.65,13.39,164.64,1.34,0,12.05,14.72,0,2.68,0,6.69,2.68,0,0,148.58
3Month,0.32,3.2,3.52,227.16,0.64,0,3.2,0.32,0.64,25.6,9.28,0,38.71,128.62,5.12,24.96,64.95,10.24,28.16,22.72,6.08,0,3.52,156.78,5.76,0.96,1068.31,1.28,0,0.64,8,0.64,59.19,4.8,0.32,0,5.76,15.36,166.05
22Month,1.09,2.73,4.37,159.62,0,0,2.73,0.55,0,9.29,9.84,0,73.8,42.09,3.28,26.79,7.11,5.47,21.87,18.04,0.55,5.47,0.55,4.92,2.19,0,1180.23,2.73,0.55,0,3.28,0,27.88,2.73,2.19,0,0.55,0,211.01
