stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,0,0,12.26,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,130.76,4.09,0,0,0,0
72hpf,2.14,0,0,2.14,2.14,0,0,0,0,0,0,0,2.14,0,6.42,0,0,0,19.26,5.35,2.14,0,0,1.07,0
21Day,0,1.34,0,8.03,1.34,0,0,1.34,0,0,1.34,0,1.34,2.68,12.05,0,0,1.34,13.39,6.69,0,2.68,0,2.68,1.34
3Month,0,0,0,3.84,0,0.32,0,0,2.24,0.64,0,0.64,0.64,0,0.32,0.96,0,0,0,0,0,0.64,1.28,0,0
22Month,0,0.55,0.55,1.09,0,1.09,1.09,1.64,17.49,0,1.09,3.28,0.55,2.19,2.19,0,0.55,0.55,0,0,0,0,0.55,0,0.55
