stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,32.69,0,0,20.43,102.16,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,1.07,0,2.14,0,0,0,0,0,0,0,2.14,0,42.79,0,1.07,7.49,13.91,39.58,0,0,4.28,2.14,0,0,0
21Day,6.69,1.34,0,0,5.35,0,0,0,0,1.34,0,1.34,4.02,0,66.93,0,9.37,2.68,6.69,36.14,4.02,0,4.02,2.68,0,0,0
3Month,0,1.6,1.28,0,0,0.32,1.28,0.64,0.32,0,0,0,0.32,0.64,18.24,5.76,0,0,0.32,0.96,0,1.6,0.32,0,0.32,0.32,0.32
22Month,0,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,1.09,0,0,0,0,0.55,0,1.09,0,0,0,0,0
