stage,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,26.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,9.6,0.32,1.6,9.28,9.6,412.73,0.32,3.84,0,5.12,3.2,0.96,0.64,0.96,0.32,0.32,0.32,0.32,0.64,0.96,2.24,0.32,1.92,2.56,0.96
22Month,1.09,0,0,0,0,0,1.09,31.71,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
