stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,102.16,4.09,0,65.38,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,735.55,0,0,0,4.09,8.17,780.5,0,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,136.93,2.14,0,3.21,0,3.21,0,0,0,0,0,0,0,0,1.07,2.14,0,11.77,0,0,0,0,13.91,69.54,0,0,0,5.35,0,0,0,0,0,0,0
21Day,38.82,49.53,0,1.34,2.68,2.68,4.02,0,0,0,0,0,0,0,0,1.34,2.68,14.72,0,0,4.02,0,2.68,20.08,0,0,0,2.68,4.02,1.34,0,0,0,0,1.34
3Month,120.94,10.24,0,4.48,0,0,0,0,0.32,1.6,0.96,4.48,0.64,0.96,0.64,1.28,0.64,8.32,3.2,0,0,0,0.32,0,0.64,0.32,0,0.32,0.32,10.56,0,0,0.64,17.92,0
22Month,92.93,322.53,1.09,7.11,1.64,0,0,0.55,0,1.64,1.64,34.99,0.55,1.09,1.09,1.09,1.09,50.84,0,0.55,0,0,0,2.19,1.64,0,0.55,6.56,0,25.69,0.55,0,0,0,1.09
