stage,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,28.6,0,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,0,11.77,0,0
21Day,0,0,0,0,0,0,0,1.34,2.68,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0.32,0
22Month,0.55,2.19,0.55,0,0,0,0,0,0,0,0.55
