stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,8.17,4.09,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,1.07,0,1.07,0,14.98,0,0,1.07,0,0,0
21Day,1.34,1.34,0,1.34,2.68,2.68,5.35,5.35,4.02,91.02,0,1.34,6.69,4.02,1.34,1.34
22Month,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0
