stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,44.95,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,12.84,0,0,0,0,0,1.07,0,0,0,0,0,0,0,5.35,0,6.42,0,0,0,0,112.33,2.14,0,6.42,0,0,0,0,0,0,0
21Day,2.68,2.68,0,22.76,0,1.34,0,5.35,0,0,0,0,0,4.02,0,2.68,1.34,12.05,0,0,0,0,46.85,4.02,0,4.02,1.34,0,1.34,1.34,0,0,0
3Month,0,9.28,0,9.28,0.32,0,0,1.28,1.6,0,0,4.16,0.64,0.32,0.64,6.08,2.56,4.16,0.64,0,0.32,0.32,0,0,0,0.64,0,0.96,0.64,0,0.32,8.32,0.64
22Month,0,9.84,0.55,4.92,0,0,0.55,0,0,1.64,1.64,13.67,0,0,1.64,0.55,4.37,4.37,0,0.55,0,0,0,0,0.55,0,0.55,1.09,1.09,0,0,0,1.09
