stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,0,4.28,0,0,0,0,0,0,0,1.07,6.42,0,2.14,0,0,0,0,230.01,8.56,2.14,3.21,1.07,0,0,2.14,0,1.07,0,0,0
21Day,0,0,0,5.35,0,1.34,0,0,0,0,0,1.34,1.34,1.34,1.34,4.02,2.68,0,0,8.03,0,91.02,5.35,0,4.02,0,6.69,0,4.02,0,0,0,0,0
3Month,0.32,0,0,3.84,0,0,4.16,0,0,2.56,0.96,0,3.2,0.64,0.96,0.32,1.28,0.64,0,0.32,0.64,12.8,0.32,6.4,0.32,0.32,0,10.24,3.84,0,0,0.64,49.91,1.28
22Month,0,2.19,1.09,2.73,1.09,0,3.83,0.55,0,14.76,0,0,7.11,0,1.09,1.09,8.2,0,1.64,1.09,0,15.85,0.55,12.57,0.55,0.55,0,4.92,45.92,1.64,0,0,0,0.55
