stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0,1.07,0,0,0,16.05,4.28,0,1.07,0
21Day,0,4.02,0,0,0,1.34,0,0,10.71,0,0,2.68,0
3Month,0.32,0,0.32,0.32,0,0.96,0.32,0,0,0,0.64,0,1.28
22Month,0,0,1.64,0.55,0,0.55,0,0.55,0,0,0.55,0,0
