stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,2.68,0,0,0,0
3Month,0,0.64,15.68,12.48,0,0,5.44,0.96,0,9.28,1.6,0.32,0.32,1.28,0,0.32,18.88,0.32,0.96,0,1.28,0.32,0,0.32,1.92,0.32,0.32,6.4,0.64
22Month,4.37,2.19,13.12,20.77,5.47,0.55,80.9,1.64,2.19,99.49,0.55,4.37,4.37,6.01,0.55,3.28,3.28,0,0,0.55,1.09,0,0.55,0,10.39,0,0,0,2.73
