stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0
21Day,4.02,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0,0,0,0,1.6,0.64,0,0.64,0.32,0,0,0.32,0.32,0,0,0.64,0.96
22Month,0.55,0,0,0.55,0.55,2.19,0,1.64,0,0.55,0,0.55,0,0,0,0,0,0
