stage,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,8.17,4.09,0,0,24.52,0,0,0,0,0
72hpf,1.07,2.14,2.14,3.21,0,7.49,5.35,3.21,0,3.21,0,0
21Day,1.34,0,2.68,2.68,0,1.34,0,0,0,0,0,0
3Month,0.32,0,0.32,0,0.32,0,0,0,5.76,0,0.32,4.16
