stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,57.21,4.09,0,0,0,0,0,0
72hpf,3.21,0,0,0,1.07,4.28,0,0,0,0,0,0,0,0,0,4.28,0,0,0,283.49,32.09,2.14,0,0,4.28,1.07,0,0
21Day,1.34,0,0,1.34,0,1.34,0,0,1.34,0,0,0,5.35,0,0,0,0,8.03,0,80.31,20.08,2.68,4.02,0,2.68,0,0,0
3Month,0,0,0.32,3.2,0,0,0,0.96,0.96,0,10.56,0.32,0.32,1.28,0,1.92,0.64,2.24,0.64,0.32,0,0,0.64,3.84,0.32,0,0.32,1.28
22Month,0,1.09,0,3.83,0.55,0,0.55,2.73,3.83,1.64,54.67,1.64,1.64,4.37,0.55,1.09,3.83,6.01,0,2.73,0,0,0.55,1.64,0,0,0.55,2.19
