stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,10.7,249.26,0,2.14,0,0,0,0,0,0,0,2.14,2.14,1.07,7.49,5.35,0,2.14,11.77,17.12,0,3.21,0,0,0,1.07,0,12.84,0,0
21Day,12.05,0,0,10.71,515.34,0,149.92,0,0,0,4.02,0,2.68,1.34,5.35,8.03,4.02,8.03,0,1.34,1.34,6.69,10.71,0,6.69,10.71,0,1.34,0,2.68,13.39,0,0
3Month,0.32,0.32,0,21.76,0,5.12,5.12,0.32,0.32,0.32,2.88,1.28,0.64,1.28,3.52,2.88,0.96,1.28,0,0,2.56,0.32,0,0.32,0,0.32,7.68,0.64,0,0,0.32,1.92,0
22Month,0,1.09,0.55,12.57,0,7.11,1.09,0,1.09,297.38,28.97,1.64,0,1.09,0.55,0,1.09,3.83,0.55,0.55,1.09,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0.55
