stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,331,0,4.09,0,0,0,0,0,12.26,0,0,0,16.35,12.26,232.93,0,4.09,151.2,0,0,0,0,0,0,0,0
72hpf,2.14,0,48.14,0,0,0,0,0,0,0,0,0,0,0,27.81,0,11.77,0,12.84,7.49,0,1.07,0,0,0,0,0,0
21Day,0,0,29.45,0,0,0,0,0,0,0,0,0,0,0,8.03,1.34,0,1.34,2.68,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.96,5.76,0.32,0,0.32,0.32,0.64,0.32,0,0,4.48,0.32,0.64,25.28,0.32,0.96,2.56,0,0,0.32,0,1.92,5.44,0.32,0.32,23.36,0.96
22Month,0,0,1.09,0,0,0,0,0.55,0,0.55,0,4.92,0,0.55,2.73,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0
