stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,11.77,0,0,1.07,0,0,1.07,81.3,21.4,0,0,0
21Day,1.34,9.37,14.72,1.34,0,0,0,0,0,2.68,21.42,0,0,18.74,5.35,1.34,0,4.02,0,0,655.88,204.8,2.68,0,0
3Month,0,2.24,0,0.32,0,0,1.6,0,0,0,0.64,0,0,0.96,0,0,0,0.32,8,0,2.24,0,0,7.68,0.32
22Month,0,0,0,0,3.83,1.64,19.68,0.55,2.19,1.09,0.55,0.55,0.55,0,0.55,0,0,0.55,3.28,0,216.48,0,0,0,0.55
