stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,2.14,0,2.14,0,1.07,0,0,0,0,11.77,19.26,0,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,5.35,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0
3Month,0.64,0.64,51.83,0.32,1.28,4.16,0.32,20.48,3.52,0.32,6.72,3.2,3.2,3.2,1.92,0.32,0,0.64,2.56,1.28,0,0.64,0,0,0.32,2.88,70.07,0.96,0,0.96,682.77,3.84
22Month,0,1.64,18.59,0,0.55,1.09,0,15.31,0.55,0,3.28,0,0,3.28,4.92,0,0.55,0,0.55,0.55,0,0.55,0.55,0.55,0,0,42.64,0,0,0,0.55,0
