stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,32.69,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,8.17,0,0,0,28.6,273.79,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,18.19,1.07,18.19,0,0,0,0,0,0,0,1.07,0,0,7.49,0,33.16,0,3.21,0,66.33,37.44,0,0,56.7,0,0,13.91,0,1.07,0,0
21Day,0,0,0,32.12,0,1.34,0,0,0,0,0,0,0,0,2.68,0,10.71,16.06,62.91,0,10.71,0,26.77,14.72,1.34,0,24.09,6.69,0,10.71,2.68,1.34,0,1.34
3Month,0.32,0,0,2.24,0,0,0.32,0.32,0,0,0,2.24,1.28,0,0.32,0.32,2.88,1.28,6.4,0.32,0.32,0.32,0.96,0,0.32,0,1.6,0.32,0.32,0,0,0.64,1.28,0.96
22Month,0,0.55,0.55,2.19,0,0,0.55,0,1.64,7.11,0,18.04,0,0,0,0,0.55,4.92,8.75,0,1.09,0,0.55,0,0,0.55,1.09,0,1.09,0,0,0,0,0.55
