stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,1.34,0,0,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.96,1.28,4.8,0,0.32,0,2.24,0.64,0.32,37.43,2.56,0.32,3.2,5.44,0.32,1.28,2.24,0.32,0.32,1.28,0.32,1.28,0,0.64,0,0,0,2.24,2.88,0,0,0.64,8.96,0.64
22Month,0.55,0.55,1.09,0,0,0,0,0,1.64,22.96,0,0,1.09,0,0,0.55,1.64,0,0,1.09,0,0.55,0,0,0.55,0.55,0,0.55,0,0.55,0.55,0,0,1.09
