stage,Erythrocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,20.43,0,0
72hpf,1.07,1.07,1.07,2.14,0
21Day,0,0,0,1.34,1.34
