stage,Epithelial_cell,Erythroid_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,12.26,0
72hpf,1.07,0,0,0,0,2.14,0
21Day,1.34,1.34,1.34,2.68,1.34,0,1.34
