stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,0,0,0,0,3.21,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,20.08,0,0,1.34,0,0,0,1.34,0,0,0,0,0,1.34,1.34,0,0
3Month,0.64,0.32,4.48,0,0.32,0.64,0,3.2,0.96,0,1.6,23.04,0.64,1.28,1.6,0.32,0.32,0.64,0,0.32,0,0,0,1.28,0,0,0.64,0.64
22Month,2.19,0,1.09,0.55,0.55,2.19,0.55,8.75,1.64,1.09,0,0,0,0.55,1.09,1.09,0,0,0,0,0.55,0.55,0.55,0,0,0,0,0
