stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,3.21,0,0,0,0,0
21Day,0,5.35,0,0,0,1.34,0,2.68,0,1.34,1.34,0,1.34,0,0,1.34,0,0,0,0,4.02
3Month,0.32,6.4,0.32,0.64,1.6,6.4,0.64,0.32,6.4,1.28,1.28,2.56,0,0,0.32,0,0.32,0.32,0,0.32,3.2
22Month,0.55,2.73,0,0.55,0,9.29,0,0,4.92,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0.55
