stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0.32,3.52,0,0.32,0,1.28,0.64,0,1.6,0.32,0.32,0,1.28,0.32,0,0,0.96
22Month,0.55,0.55,0,0.55,0,1.09,2.73,0.55,0,6.01,0.55,0.55,0.55,1.64,0.55,0.55,0.55,0
