stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,73.56,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,77.02,4.28,0,2.14,4.28,0,0,1.07,1.07,0,0,0
21Day,0,0,1.34,5.35,0,0,0,1.34,0,1.34,0,0,2.68,0,1.34,0,0,0,0,40.16,8.03,0,0,2.68,0,1.34,1.34,8.03,0,0,0
3Month,0,0,6.72,0.96,0.96,0.32,0,7.36,0.96,0,2.24,0.32,0.96,1.92,2.88,1.28,0,0.96,0.64,1.6,0,0.64,1.28,1.28,1.6,135.34,0,0,0.96,32.63,1.28
22Month,0,0.55,3.28,1.09,2.19,0,1.64,12.03,0.55,0.55,1.09,0.55,0.55,1.64,4.37,0.55,0.55,0,0,0.55,0,2.19,0.55,0,0.55,57.4,0.55,0,0.55,0,0
