stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,2.14,0,1.07,0,0,0,0,0,0,0,3.21,0,0,0,4.28,0,0,5.35,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,2.68,0,0,0,30.79,0,8.03,0,2.68,1.34,4.02,0,0,0,8.03,2.68,0,2.68,1.34,0,0,0,0,0
3Month,0.32,0.96,2.24,6.08,0,0.96,3.52,0.32,409.22,2.88,6.72,0.64,1.6,2.24,2.88,0.64,0.64,0.64,3.84,0.32,1.6,0,4.16,0.96,0.64,0.32,0.96,1.92
22Month,0,0.55,0.55,0,0,0,0,0,31.16,0,9.29,0,0,0,0,1.64,0,0,1.09,0,0,0,0,0,0,0,0,0
