stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Pancreatic_cell,T_cell
21Day,8.03,2.68,0,0,0,1.34,1.34,1.34,1.34,1.34,2.68
22Month,1.64,0,1.09,0.55,1.64,0,0,0,0,0,0
