stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,8.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,10.71,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,3.2,0.96,0.32,0.32,274.52,2.88,3.2,0.32,2.24,0.96,0.64,8,1.28,0.32,1.28,0.96,0,0.64,3.2,1.6,0,0.32,2.56,0.32
22Month,0,0.55,1.09,0.55,0,0,120.81,4.92,1.09,0.55,0.55,0,0.55,7.11,0,0,0,0,0.55,0,0,0,0.55,0,0,0
