stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,0,12.26,0,0,8.17,0,0,4.09,8.17,0,85.81,4.09,0,0,0,0,0
72hpf,1.07,1.07,3.21,3.21,1.07,0,0,2.14,5.35,5.35,11.77,12.84,5.35,1.07,0,0,0,0
21Day,0,0,0,9.37,2.68,0,8.03,0,1.34,1.34,1.34,6.69,1.34,1.34,0,2.68,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.64,0.32
