stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,21.4,1.07,0,1.07,0,12.84,0,2.14,27.81,11.77,0,0,0,2.14,0,0,1.07,6.42,0,0,0
21Day,2.68,1.34,1.34,2.68,1.34,0,0,1.34,0,33.46,0,1.34,10.71,0,0,0,1.34,0,1.34,0,0,12.05,0,0,0,0,0,4.02,0,0,0,0,0,0
3Month,0,0.96,11.2,21.12,0.96,0,0.64,5.44,4.16,967.85,4.16,0.32,86.39,3.2,9.92,3.52,6.08,0.64,1.28,1.6,2.24,2.24,0,2.56,0.64,0,0.32,14.4,26.56,0,1.92,3.84,19.52,2.56
22Month,0.55,0.55,7.11,8.2,1.64,0,2.19,3.83,4.92,852.78,3.28,1.09,89.1,0,3.83,5.47,7.11,0.55,21.32,1.09,0.55,0,0,2.19,0.55,1.64,0.55,1.09,16.95,0.55,0,0,0,2.19
