stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0.32,4.48,1.28,58.87,0.96,0.32,4.16,7.68,0,27.52,9.28,10.56,2.88,5.44,3.52,1788.52,5.44,0.32,5.12,0.64,0.96,0,1.28,0,0.96,6.08,5.44,0.32,0.32,0,0.64,3.84,1.92,5.44
22Month,0,0,0,1.09,0.55,0,0.55,1.09,0,84.73,0,2.19,0,1.09,0.55,123.54,0,3.28,0,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0.55,0,0
