stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,1.07,0,0,102.7,1.07,0,3.21,0,0,1.07,2.14,0,0,0
21Day,4.02,0,1.34,0,5.35,0,0,0,1.34,0,1.34,0,0,2.68,0,6.69,0,0,1.34,0,104.41,2.68,0,2.68,2.68,0,1.34,0,0,0,0
3Month,0,0,0.32,1.92,0,0.32,0.32,0,4.8,0.64,0.64,0.96,0.32,0.64,0.96,4.8,0.32,0,0.64,0.32,0.96,0,0.64,0,0,22.4,0.32,0,0.32,7.36,1.6
22Month,0,0.55,0,2.73,0,0,2.19,2.19,24.6,1.64,0,2.73,1.09,0,2.73,1.09,0,0,0.55,0,2.19,0,0.55,0.55,0,3.83,0,0.55,0.55,0,1.09
