stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,2.68,10.71,1.34,0,1.34,0,9.37,0,0,4.02,26.77,0,1.34,2.68,38.82,0,0,0,6.69,0,2.68,0,0,0,9.37
3Month,2.56,0.32,11.84,0,0.32,0.32,0.96,71.35,0,4.48,26.88,5.44,1.92,0.96,1.6,51.19,0.96,0.64,0.64,0,1.28,0.64,0.64,0,0.64,21.76
22Month,3.83,0,4.92,0,1.09,0,1.64,88.01,1.64,29.52,14.21,10.39,3.83,0,0,57.95,2.73,0,0,0,0,1.09,0,0.55,0,12.03
