stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,2.14,1.07,0,0,108.05,19.26,0,3.21,0,0,0,0,1.07,0,0,0
21Day,0,1.34,4.02,0,9.37,0,0,0,4.02,0,0,2.68,1.34,0,29.45,10.71,0,0,2.68,0,1.34,1.34,0,0,0,0
3Month,0.32,4.16,0,0,0.64,0.32,1.92,1.6,0.96,0.64,0.96,2.24,0.96,0.32,0.32,0.32,1.6,0,0,2.56,0,0,0,0.32,0.32,1.28
22Month,0,0,0,0.55,0,0,4.37,0.55,0.55,0,0,2.73,0,0.55,0.55,0,1.09,0,0,0,0,0,0,0,0,0
