stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,T_cell
21Day,0,0,0,1.34,0,0,2.68
3Month,0,0,0.32,0,0.32,0,0.96
22Month,1.64,0.55,0,0,0,0.55,0.55
