stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,0,0,0,8.17,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,1.07,0,3.21,0,1.07,0,0,0,0,0,0,0,1.07,2.14,2.14,2.14,0,1.07,0,133.72,9.63,0,0,11.77,0,0,3.21,0,2.14,0,0
21Day,4.02,2.68,1.34,12.05,1.34,14.72,0,1.34,0,0,0,2.68,1.34,12.05,1.34,1.34,2.68,18.74,20.08,0,0,0,97.71,6.69,0,2.68,4.02,5.35,0,2.68,1.34,1.34,0,16.06
3Month,0,0.32,0.32,5.76,0,0,0.64,0.64,0.64,7.04,0,4.48,2.56,0,1.92,0,1.28,5.12,2.24,0.64,1.92,0.32,0.32,0,0.96,0.32,0.32,0,0.64,0.32,0,0,0.32,8
22Month,0,1.09,0,0,0,0,0,0,1.09,8.75,2.19,3.83,1.09,0.55,1.64,0,0,3.83,1.64,0,0.55,0.55,0.55,0,1.09,0,0,0.55,1.64,0,0,0,0.55,2.19
