stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.32,0,31.04,0,5.76,0,0,0.64,0.64,1.6,0.32,0.32,0.96,0.32,0.32,0.64,0,0,0.32,0.96,0.64
22Month,0,1.09,3.83,0.55,2.73,1.09,0.55,6.01,0,1.64,0,0,1.09,0,0.55,1.64,0.55,33.89,0,0,0
