stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,48.14,0,0,0,0,0,0,0,0,0
21Day,222.2,30.79,25.43,535.41,10.71,360.07,0,62.91,0,1.34,20.08,92.36,30.79,194.09,64.25,53.54,380.14,107.08,609.03,4.02,5.35,93.7,8.03,732.18,299.83,6.69,29.45,0,267.71,34448.49,0,1.34,46.85,44.17,149.92,32.12,1.34,0,78.97
3Month,0.64,5.76,6.4,72.31,0.64,0,1.6,0,0.96,12.8,34.87,136.3,37.11,2.56,44.47,10.88,20.48,17.6,23.36,4.16,0.64,20.48,3.84,2.88,1.6,5.44,2.88,0,0.96,9157.59,26.88,16.64,0.96,0.32,0,0.32,10.88,24.32,21.76
22Month,0.55,1.64,0.55,4.37,0,0,0,0,0,2.19,69.43,49.75,1.64,1.09,10.93,0.55,1.09,7.65,4.37,0.55,2.19,1.09,0,0.55,0,3.28,2.73,0.55,0,2911.48,0,2.73,1.64,1.09,0,0,1.09,0,3.83
