stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,2.14,0,0,44.93,5.35,0,6.42,4.28,0,0,12.84,3.21,0,0,0
21Day,2.68,4.02,4.02,1.34,0,1.34,0,0,1.34,0,1.34,1.34,18.74,0,2.68,0,113.78,4.02,1.34,4.02,12.05,4.02,1.34,37.48,88.34,0,0,0
3Month,0,2.56,0,0,0.32,0,4.48,0.32,0.32,0.96,0.32,0,0,0,0,0.32,0.32,0.32,0.32,0,0.32,1.28,0,0,0,0.32,5.44,0.32
22Month,0,1.09,0,0,1.09,0.55,15.31,0.55,1.09,1.09,0.55,1.64,2.19,0.55,0,0,0.55,0,0,0,0,0,0,1.09,0,0,0,1.09
