stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,4.28,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,1.34,1.34,0,0
3Month,0,0.64,1.92,0,0.32,0.64,0,2.88,0.32,0,0.32,0,0,0.32,1.6,0.32,0.32,0,0,0.32,0,0,0.32,0,0
22Month,2.73,0.55,2.73,0,0.55,0.55,2.19,100.58,0,0.55,3.28,0.55,0,0.55,1.09,4.92,0,0.55,0,0,4.92,0,0,0.55,0.55
