stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,1.07,1.07,0,1.07,0,1.07,1.07,1.07,1.07,0,1.07
21Day,0,0,1.34,0,1.34,2.68,0,2.68,0,1.34,0
