stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,4.28,0,0,0,0,0,0,2.14,1.07,0,1.07,3.21,0,0,0,0,0,0,0
21Day,2.68,1.34,0,17.4,1.34,2.68,6.69,1.34,2.68,0,0,0,0,14.72,0,2.68,4.02,4.02,16.06,0,0,1.34,0,4.02,4.02,0,0,6.69,0,0,2.68,0,0,0,1.34
3Month,0,1.28,0,7.68,0,0,0,1.28,3.2,0,0,6.08,3.84,0.64,4.16,0.32,4.16,4.48,1.28,0.96,0,0.32,0.32,0.64,0,0.96,0.32,0.32,0.32,0,0,0,1.28,1.92,5.44
22Month,0,1.09,0.55,12.57,0,0,0.55,4.37,32.25,7.11,0,26.79,5.47,4.37,19.13,0,3.28,14.76,9.29,0,1.09,1.64,0,1.09,1.09,2.19,1.09,0,0.55,1.09,1.09,0.55,1.09,0,9.84
