stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,0,0,0,8.17,0,0,0,0,0,8.17,4.09,32.69,0,0,0,0,44.95,347.34,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,4.28,0,0,0,0,0,0,0,0,0,0,3.21,9.63,0,1.07,0,1.07,0,0,33.16,41.72,1.07,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,6.69,0,1.34,0,0,0,0,0,0,0,0,14.72,0,0,6.69,0,0,1.34,0,9.37,25.43,0,0,0,0,1.34,0,14.72,1.34,0,1.34,0,0,1.34
3Month,0,0.96,0.32,18.24,1.28,0,1.28,3.2,0.32,0,12.48,3.52,0.32,5.12,0.96,3.52,5.12,1.6,0.32,0,1.28,3.52,1.28,0,1.28,0.64,0,1.28,1.92,0.32,197.41,0.64,0,0,1.92,853.3,3.52
22Month,0,0.55,1.64,3.83,0,0.55,0,1.64,0.55,0,13.12,1.64,1.09,1.64,0,0,5.47,2.19,0,1.09,0,0,0,0,1.64,0.55,1.09,0,0.55,0,109.88,1.09,0.55,0,0,4.37,0.55
