stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,13.91,0,4.28,0,0,0,50.28,3.21,0,0,2.14,0,0,2.14,0,0,0
21Day,1.34,0,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,44.17,2.68,1.34,0,0,2.68,0,1.34,0,0,1.34
3Month,0,0.32,0.32,7.36,0,0,0.32,0.96,0,0,10.24,2.56,0.64,3.84,0.96,2.56,2.24,3.2,0,0,0.32,1.92,0.32,4.48,0.64,0,0.96,8.96,0,0.32,1.6,1.92
22Month,10.93,1.09,0.55,7.65,0,1.09,0,0,2.19,0.55,80.36,4.92,0.55,4.37,0,0,3.28,4.37,2.19,0.55,0,1.09,0.55,4.92,0.55,0.55,1.09,5.47,0,0,0,3.28
