stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,16.35,0,0,0,0,4.09
72hpf,1.07,1.07,0,1.07,3.21,18.19,4.28,2.14,2.14,0,1.07,0
21Day,1.34,0,1.34,0,4.02,1.34,0,0,0,1.34,0,0
