stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,27.81,1.07,0,9.63,0,0,0,0,0,0,0,0
21Day,0,2.68,0,2.68,13.39,0,2.68,1.34,0,0,0,1.34,4.02,0,2.68,0,4.02,12.05,0,0,0,26.77,4.02,2.68,14.72,4.02,0,1.34,2.68,5.35,0,0,8.03
3Month,0.32,0.96,0.32,3.52,0,0.32,0.32,12.16,0.96,0,4.16,20.16,0.96,1.6,0.64,0.64,2.88,2.56,0,0.96,0.32,2.24,0.32,0.96,0.32,0.96,0.32,6.72,0,0.64,0.96,5.76,10.88
22Month,0,1.09,0,0,0,0,0,0.55,0.55,0,8.2,4.92,0.55,1.09,0.55,0,1.64,2.19,0.55,0.55,0,0,0,0,0.55,0,0,2.19,0,0,0,0,8.2
