stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Retinal_cell
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
21Day,0,4.02,0,0,0,0,0,0,1.34,0,0,13.39,0,0,0,0
3Month,0.32,0.32,0,0,1.92,2.56,0.64,0.32,0.64,0,0.32,2.56,0,0,0.64,0
22Month,1.09,0,0.55,1.09,9.84,0,2.73,0,0.55,0.55,0,0,0,0.55,0.55,0.55
