stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,53.12,0,0,0,0
72hpf,2.14,1.07,2.14,0,0,0,0,0,2.14,3.21,0,1.07,1.07,0,18.19,13.91,0,2.14,1.07,0
21Day,5.35,0,12.05,1.34,0,1.34,0,2.68,1.34,1.34,0,6.69,0,0,16.06,12.05,1.34,8.03,1.34,1.34
3Month,0,0,0.96,0,0.32,0,0,0,0,0.96,0.32,0,0,0.32,0,0,0,0,0,0
22Month,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0
