stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,7.49,0,0,0,0,2.14,0,4.28,0,1.07,10.7,0
21Day,1.34,0,1.34,0,0,0,0,0,0,2.68,1.34,0,10.71,0
3Month,0,0,0.32,0,0,0,0,0,0.32,0.64,0,0,0,0.32
22Month,0,0,0,0.55,0.55,4.37,0.55,0,0,1.64,0,0,0,0
