stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,13.91,3.21,1.07,2.14,2.14,0,1.07,0,0
21Day,2.68,0,0,0,0,1.34,0,2.68,0,4.02,0,9.37,1.34,0,0,2.68,1.34,1.34,5.35,0
3Month,0.64,0.64,1.28,0.32,0,2.88,0.64,0,0.64,0,0.32,0,0,0,0,0,0,0,0,0
22Month,1.09,1.09,4.37,0,0.55,3.83,0,0,0,0.55,0,0,0,1.09,0,0,0,0,0,0.55
