stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,3.21,6.42,0,0,0,1.07,2.14,5.35,2.14,8.56,722.11,20.33,0,0,5.35,0,0,0,1.07,0,0
21Day,0,1.34,2.68,4.02,0,0,0,0,0,1.34,0,2.68,172.67,6.69,0,5.35,0,6.69,0,1.34,0,1.34,2.68
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,0,0.55,0,0,0,0,0.55,5.47,0.55,1.64,0,0,0,3.28,0.55,0,0,0
