stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,12.26,0,0,77.64,12.26,8.17,0,0,0,0,4.09,0,0,0,0,0,20.43,24.52,53.12,0,0,12.26,175.72,0,0,12.26,0,0,0,4.09
72hpf,2.14,1.07,0,10.7,3.21,0,0,0,0,0,0,0,0,0,0,11.77,22.47,0,7.49,5.35,0,12.84,8.56,0,0,6.42,5.35,0,1.07,1.07
21Day,0,0,1.34,45.51,1.34,4.02,0,0,0,0,0,2.68,0,1.34,6.69,4.02,17.4,1.34,6.69,0,2.68,4.02,1.34,0,1.34,1.34,1.34,0,0,0
3Month,0,0,0,0.96,0,0,0,0,0,0,0,2.88,0.32,0,1.28,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0,9.29,0,0,0.55,1.64,1.09,6.56,0,47.01,0,0,14.76,0,2.73,0.55,1.09,1.64,1.09,0.55,0.55,0.55,0,0,0,1.09,0.55,0
