stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,12.26,57.21,0,0,0,0,8.17,273.79,0,12.26,0,0,0,0,0,0,0,0
72hpf,3.21,6.42,10.7,8.56,6.42,0,0,0,0,0,0,0,0,0,2.14,66.33,1.07,123.03,0,0,0,0,43.86,59.91,0,85.58,1.07,1.07,5.35,0,0,0,0,0
21Day,10.71,2.68,12.05,4.02,4.02,0,2.68,0,1.34,0,0,0,1.34,0,2.68,5.35,1.34,364.08,0,0,6.69,0,20.08,22.76,0,49.53,5.35,2.68,1.34,5.35,2.68,0,0,0
3Month,0,2.88,9.28,0.32,0,0.64,0,1.6,2.88,0,4.8,0.96,0.32,2.88,0,2.56,0.96,123.18,0.32,0,0.96,0.32,1.28,0,0.96,0,1.28,34.55,0,0,0,0,8,4.48
22Month,0,4.37,14.76,0,0,0.55,0,0.55,2.19,1.09,66.69,2.19,12.57,0.55,0,0,4.92,55.76,1.64,2.73,2.19,0,0,0,5.47,0,0,21.87,0,0,0,0.55,0,3.28
